,engine_speed,engine_load,intake_valve_opening,air_fuel_ratio,specific_fuel_consumption,temperature_exhaust_manifold,temperature_in_catalyst,engine_roughness_v,engine_roughness_s,HC,NOx
,,,,,,,,,,,
6,-1.51871958234375,0.685017661085908,1.14063164984689,0.0127189127451191,0.96982317622548,-1.9404368003953,-1.67030700197887,-0.815387426523973,-0.508649976133853,2.09321231440132,-0.62104351847882
14,-1.4023429751494,0.439823021112811,1.13557572536392,0.201014185535434,0.664235464509255,-1.7378241851256,-1.39351240471186,-0.617637892150822,-0.419270350793335,1.31781555574204,-0.572250742676331
15,-1.40244835877564,0.779284699175093,1.13787799761105,1.10876882820223,0.385694438357759,-1.57336306720216,-1.46739479969221,-0.77572677179017,-0.44044724490056,1.29739934399623,0.380120164894423
16,-1.40196095332272,0.810729700103586,1.14256890284419,-0.550099193560783,0.452339625152694,-1.39910951027719,-1.21248221346841,-0.661090951274604,-0.328499859797765,1.93688581333089,-0.687227118732698
17,-1.40192304785604,0.805513054043066,1.14490182674216,-0.974808014443579,0.595283210256534,-1.32113472648458,-1.16140818581799,-0.247589866924012,-0.00436750653507705,1.98595229914895,-0.901642347688454
23,-1.28557292256307,0.472147303231281,1.14243001493059,-1.08372475970158,0.223479170216549,-1.58329086217799,-1.29109251718262,-1.01590387688061,-0.68633460801596,1.08685079833454,-1.27699900653252
24,-1.28576425491873,0.794298884450721,1.1444821512664,0.330964712237782,-0.0394547647956856,-1.27651618949587,-0.962699677539674,-0.803195080738936,-0.438613653099415,0.914688305931218,-0.285962010189198
25,-1.28562336427999,0.851765555381542,1.15118242351234,-1.09609656585556,0.0835862967715415,-1.11820740248559,-0.90356565031356,-0.719661118843125,-0.348891521164073,1.58884945277464,-1.04149997600473
26,-1.285508609374,0.854784578392718,1.14860980464165,-1.20747107986259,0.0815407892638611,-1.10048898881984,-0.889201540421295,-0.775207328974258,-0.393199934871504,1.6658340601206,-1.05880605773451
31,-1.22769105239619,-0.142998658833439,1.12750109695952,-1.27483854280006,0.457542551010218,-1.86069536982332,-1.67081874644925,-1.25873193243785,-1.00022395398972,1.67621941010784,-1.03049403200318
32,-1.22737079694641,0.510442961744144,1.14030902129283,-1.12923355389247,0.273491117402328,-1.25032121035029,-1.06815898192258,-0.55374639864752,-0.335677374541712,0.848699458928657,-1.30538953806052
33,-1.22744695404843,0.81821595849531,1.14323887640584,0.221012197374201,-0.216426202290619,-1.09821506159382,-0.860729879219341,-0.914553907630541,-0.513543857491259,0.690687310053587,-0.362306737381973
34,-1.22747741688923,0.855584379567342,1.14412946969977,-0.272914882955332,-0.168837246820695,-0.910407086274707,-0.670590504933707,-0.769245980711653,-0.383335614674683,0.916880601227673,-0.811040598539582
35,-1.22726417700358,0.871807539955724,1.14491778147415,-0.188565298927972,-0.129539797566264,-0.884437161623222,-0.66670202804144,-0.685321701455588,-0.313455992196781,0.918393967703903,-0.752086774131666
39,-1.0236010469319,-0.727002607835841,1.13757275093443,0.887826001894266,0.601487491896496,-1.81127976662235,-1.74941358318034,0.409741796484226,-0.176320491727428,2.34452757282065,0.371895535931249
40,-1.02393613818077,-0.0972692677834895,1.14312653799838,-0.73458393749719,0.0272495921603088,-1.36531723699774,-1.18835341045544,-0.875418741424322,-0.719410692521193,2.40240720296547,-0.00393076514286166
41,-1.02340209886604,0.551490268305401,1.15295523121131,-1.33746176565799,-0.336453023582001,-0.886469737610978,-0.75902912907046,-1.0862747980961,-0.70151269983048,2.04374624426999,-0.311906512869396
42,-1.0232240692769,0.878080122765989,1.15100227215181,-1.28144554569599,-0.441998747220926,-0.665493238038249,-0.528333584998323,-0.622059663160918,-0.230386289514834,1.94047768815046,-0.369526098993083
43,-1.02348681127887,0.980133631979853,1.14902352993684,-0.640667085770959,-0.492919338137925,-0.499887229552894,-0.341499118331698,-0.634658437175885,-0.214212814922635,1.84810923252028,-0.134060083167115
44,-1.02328118710342,0.958375456775897,1.14960965342028,-0.757184150449935,-0.477832075359439,-0.460478823670891,-0.32611492223495,-0.65901232563472,-0.242368336497345,1.74613715804822,-0.225506670614595
