,engine_speed,engine_load,intake_valve_opening,air_fuel_ratio,specific_fuel_consumption,temperature_exhaust_manifold,temperature_in_catalyst,engine_roughness_v,engine_roughness_s,HC,NOx
,,,,,,,,,,,
0,-1.51889977680725,-2.04708483707829,-2.10847262613167,-2.45478275177128,-1.57796657710307,-2.01205011356987,-2.01123904290751,-1.37911465702226,-1.23499137590967,-1.6951514972364,-2.69174810316082
0.1,-1.16909249772628,-1.36094413318166,-1.44545887022611,-1.19472768406527,-1.13639355520729,-1.38171289290242,-1.31328490214894,-1.03223674016174,-0.950795167722328,-1.26291476728892,-1.40408699850461
0.2,-1.02292526924749,-1.00973040631719,-1.01419870191741,-0.790599143294386,-0.874598586564372,-0.945157428076761,-0.926582775251931,-0.819348471437883,-0.755477835478937,-0.949273663410645,-0.900039015231264
0.3,-0.557546799503213,-0.612429952552339,-0.607117054021851,-0.54872581303548,-0.630196496212309,-0.596921673427125,-0.664585482297705,-0.655850582384223,-0.614829301443824,-0.626159419016887,-0.482574084870234
0.4,-0.38303188025796,-0.335740237986187,-0.319784194938538,-0.294345808750969,-0.422511797312192,-0.272592676014251,-0.361538736671568,-0.479924216122312,-0.485045902760261,-0.360326342026161,-0.159782255831551
0.5,-0.0913329770671894,0.0177029853649217,0.113660465145283,-0.0792114102082105,-0.195149939974356,0.0431340068138965,-0.0486078160533178,-0.258793443921289,-0.351786737826697,-0.115660582100102,0.132794371325883
0.6,-0.0618812906401982,0.338732440549265,0.506849552710341,0.154758321193991,0.0540188074759449,0.268880548058342,0.288815348299218,-0.00757122860727764,-0.111857590961608,0.174320764928417,0.409195292582126
0.7,0.258183914813178,0.712485501016232,0.953761849154278,0.462031380962187,0.365758122781315,0.575369361250484,0.601355001789667,0.29741239808307,0.167897092507228,0.487720569276854,0.661324551383064
0.8,1.07464557029263,0.988212533318493,1.10123978811868,0.81824369137481,0.838793763649982,0.897686017739795,0.959336654077696,0.734647232106841,0.721914856258161,0.901532008008579,0.929044487880996
0.9,1.51200550195704,1.35492315835697,1.13830342264046,1.39627186793166,1.47983940639298,1.39359745409978,1.44504248535553,1.41714589973879,1.45423395082756,1.4178347271368,1.21798662917426
1,3.43503494416474,2.21346521074612,1.16184108475179,2.70236386716304,2.76025395087174,2.08033344504092,2.0020995949252,4.55242508790179,4.41029158148955,2.42454609337101,1.66672029736629
